product_id_1,product_id_2,similarity
P442545,P469502,0.4396
P442545,P469513,0.4551
P442545,P469515,0.4295
P442545,P438618,0.4651
P455237,P465741,0.4629
P455237,P472302,0.4742
P455237,P455613,0.6114
P455237,P477492,0.5061
P455237,P455614,0.6127
P455237,P455612,0.6298
P455237,P483643,0.4689
P455237,P505338,0.4208
P455237,P481058,1.0
P455237,P503262,0.7507
P455237,P479313,0.4252
P455237,P410400,0.4014
P455237,P461535,0.4089
P455237,P483495,0.4153
P455237,P472341,0.4007
P455237,P476736,0.4377
P455237,P442748,0.4004
P455237,P500482,0.4162
P455237,P503877,0.4283
P455237,P476737,0.4436
P455237,P501474,0.4023
P465741,P472302,0.4501
P465741,P455613,0.4005
P465741,P477492,0.4813
P465741,P455614,0.4969
P465741,P455612,0.4244
P465741,P483643,0.456
P465741,P481058,0.4629
P465741,P503262,0.892
P465741,P462336,0.4329
P465741,P500096,0.4026
P465741,P445832,0.4193
P465741,P447592,0.5061
P465741,P501190,0.466
P465741,P398761,0.5177
P465741,P416755,0.4446
P465741,P501166,0.4417
P465741,P481341,0.4359
P465741,P481975,0.4041
P465741,P481339,0.4108
P465741,P474943,0.516
P465741,P503912,0.4207
P465741,P478260,0.4053
P465741,P434548,0.5216
P465741,P479318,0.4024
P465741,P480165,0.4891
P465741,P503997,0.4319
P465741,P479327,0.4027
P465741,P436359,0.4452
P465741,P472468,0.4862
P465741,P503634,0.416
P465741,P441323,0.4334
P465741,P504171,0.4884
P465741,P400207,0.4117
P465741,P450583,0.4872
P465741,P500988,0.5909
P465741,P483661,0.5807
P465741,P481334,0.6998
P465741,P480174,0.4564
P465741,P476428,0.41
P465741,P503216,0.4452
P465741,P476515,0.4063
P465741,P471041,0.4402
P465741,P471040,0.5295
P465741,P480610,0.4374
P465741,P500318,0.4465
P465741,P382356,0.4655
P465741,P383308,0.4621
P465741,P500982,0.4022
P465741,P503992,0.4225
P465741,P473133,0.4668
P465741,P503933,0.4519
P465741,P382204,0.5088
P465741,P448719,0.4908
P465741,P203616,0.4271
P465741,P468850,0.4279
P465741,P470245,0.4182
P465741,P470247,0.5024
P465741,P470246,0.428
P465741,P470248,0.4991
P465741,P500502,0.4894
P465741,P442594,0.5007
P465741,P442535,0.5067
P465741,P473726,0.5524
P465741,P460554,0.5205
P465741,P456957,0.4251
P465741,P445726,0.439
P465741,P479688,0.4794
P465741,P483092,0.5418
P465741,P457439,0.492
P465741,P461199,0.4009
P465741,P502842,0.5067
P465741,P504417,0.4927
P465741,P478731,0.4892
P465741,P463964,0.4923
P465741,P483495,0.4807
P465741,P456407,0.431
P465741,P432048,0.5068
P465741,P429954,0.408
P465741,P462747,0.4055
P465741,P420143,0.5072
P465741,P386739,0.4042
P465741,P442748,0.4132
P465741,P500482,0.5124
P465741,P480354,0.4122
P465741,P503877,0.4155
P465741,P502434,0.4333
P465741,P504049,0.4183
P465741,P481748,0.4
P465741,P501316,0.4324
P465741,P475197,0.5157
P465741,P475192,0.5642
P465741,P475196,0.4548
P465741,P475200,0.4167
P465741,P455676,0.5563
P465741,P458216,0.5537
P465741,P471111,0.5281
P465741,P502771,0.4345
P465741,P501474,0.4026
P472302,P455613,0.4565
P472302,P477492,0.4792
P472302,P455614,0.4541
P472302,P455612,0.5142
P472302,P483643,0.5538
P472302,P481058,0.4742
P472302,P503262,0.5082
P472302,P501190,0.4063
P472302,P437981,0.4005
P472302,P432662,0.4155
P472302,P476428,0.4307
P472302,P503216,0.4186
P472302,P476515,0.4229
P472302,P386739,0.4264
P472302,P392143,0.4455
P472302,P412407,0.4386
P472302,P476736,0.4424
P472302,P500482,0.4687
P472302,P480354,0.428
P472302,P503877,0.4283
P472302,P476737,0.4112
P472302,P502434,0.4189
P472302,P475197,0.407
P472302,P475192,0.4144
P455613,P477492,0.4339
P455613,P455614,0.4524
P455613,P455612,0.707
P455613,P481058,0.6114
P455613,P503262,0.5442
P455613,P476736,0.4232
P455613,P476737,0.4247
P477492,P455614,0.4887
P477492,P455612,0.4696
P477492,P483643,0.6331
P477492,P505338,0.4018
P477492,P481058,0.5061
P477492,P503262,0.5529
P477492,P462336,0.4616
P477492,P395507,0.4327
P477492,P500248,0.4046
P477492,P460624,0.4619
P477492,P505139,0.4346
P477492,P501190,0.4027
P477492,P417238,0.4347
P477492,P434548,0.4495
P477492,P480165,0.4563
P477492,P503997,0.4117
P477492,P441220,0.4642
P477492,P504171,0.4132
P477492,P468143,0.4523
P477492,P474323,0.4419
P477492,P442564,0.4135
P477492,P437981,0.4624
P477492,P431840,0.4399
P477492,P500988,0.4066
P477492,P432662,0.4097
P477492,P481334,0.41
P477492,P476428,0.4371
P477492,P503216,0.4167
P477492,P476515,0.4332
P477492,P472469,0.4156
P477492,P502322,0.4007
P477492,P471046,0.4243
P477492,P468684,0.4033
P477492,P476876,0.4201
P477492,P470048,0.4132
P477492,P456192,0.469
P477492,P456193,0.4537
P477492,P203616,0.4456
P477492,P437477,0.4512
P477492,P502047,0.4339
P477492,P503345,0.4339
P477492,P504698,0.4153
P477492,P410400,0.4787
P477492,P461535,0.4411
P477492,P483495,0.4694
P477492,P386739,0.4261
P477492,P379709,0.4094
P477492,P392143,0.4467
P477492,P392142,0.4101
P477492,P472341,0.4316
P477492,P472343,0.4365
P477492,P476736,0.4741
P477492,P442748,0.4035
P477492,P449410,0.4104
P477492,P500482,0.4802
P477492,P503877,0.4677
P477492,P476737,0.4781
P477492,P502434,0.4287
P477492,P504073,0.4225
P477492,P475200,0.4039
P477492,P501178,0.4374
P477492,P477830,0.4046
P477492,P473336,0.4084
P455614,P455612,0.4892
P455614,P483643,0.4305
P455614,P481058,0.6127
P455614,P503262,0.6024
P455614,P471003,0.4125
P455614,P470007,0.4315
P455614,P445832,0.4139
P455614,P417238,0.4035
P455614,P434548,0.4173
P455614,P431187,0.426
P455614,P480165,0.4461
P455614,P480174,0.4106
P455614,P503216,0.4192
P455614,P503992,0.4091
P455614,P451745,0.4605
P455614,P410400,0.4032
P455614,P461535,0.4016
P455614,P483495,0.4213
P455614,P476736,0.4035
P455614,P500482,0.4427
P455614,P503877,0.4229
P455614,P505210,0.429
P455614,P475192,0.4042
P455614,P475196,0.4207
P455612,P483643,0.431
P455612,P481058,0.6298
P455612,P503262,0.5682
P455612,P476736,0.4106
P483643,P481058,0.4689
P483643,P503262,0.5194
P483643,P462336,0.4098
P483643,P428416,0.4036
P483643,P437981,0.4479
P483643,P410400,0.4455
P483643,P461535,0.4002
P483643,P472341,0.4079
P483643,P476736,0.4095
P483643,P442748,0.4739
P483643,P503877,0.4195
P483643,P476737,0.4045
P483643,P477830,0.4464
P505338,P481058,0.4208
P505338,P503262,0.4194
P505338,P468684,0.409
P505338,P503877,0.4168
P505338,P501474,0.4214
P481058,P503262,0.7507
P481058,P479313,0.4252
P481058,P410400,0.4014
P481058,P461535,0.4089
P481058,P483495,0.4153
P481058,P472341,0.4007
P481058,P476736,0.4377
P481058,P442748,0.4004
P481058,P500482,0.4162
P481058,P503877,0.4283
P481058,P476737,0.4436
P481058,P501474,0.4023
P503262,P462336,0.4709
P503262,P471003,0.4279
P503262,P445832,0.4358
P503262,P460624,0.4173
P503262,P447592,0.4808
P503262,P501190,0.4801
P503262,P398761,0.5046
P503262,P474823,0.4021
P503262,P416755,0.4085
P503262,P479313,0.4501
P503262,P501166,0.4643
P503262,P481341,0.4351
P503262,P481975,0.4268
P503262,P481339,0.4277
P503262,P474943,0.5029
P503262,P503912,0.45
P503262,P478260,0.4105
P503262,P417238,0.4223
P503262,P434548,0.5259
P503262,P479318,0.4067
P503262,P480165,0.5189
P503262,P503997,0.4626
P503262,P479327,0.4406
P503262,P470529,0.4091
P503262,P472468,0.4529
P503262,P475543,0.4007
P503262,P501254,0.4023
P503262,P503634,0.4275
P503262,P504171,0.514
P503262,P504849,0.4021
P503262,P474323,0.4197
P503262,P437981,0.4209
P503262,P474325,0.4022
P503262,P450583,0.433
P503262,P431840,0.4224
P503262,P500988,0.5835
P503262,P483661,0.5437
P503262,P432662,0.4351
P503262,P481334,0.6476
P503262,P480174,0.48
P503262,P476428,0.4205
P503262,P503216,0.4724
P503262,P476515,0.4167
P503262,P502322,0.4533
P503262,P471040,0.4836
P503262,P480610,0.4157
P503262,P500318,0.4227
P503262,P382356,0.4737
P503262,P383308,0.4641
P503262,P503992,0.4256
P503262,P473133,0.4363
P503262,P475143,0.4105
P503262,P459131,0.4032
P503262,P503933,0.4684
P503262,P470048,0.422
P503262,P382204,0.4728
P503262,P448719,0.447
P503262,P203616,0.4306
P503262,P437477,0.4002
P503262,P468850,0.4167
P503262,P470245,0.4104
P503262,P470247,0.4798
P503262,P470246,0.4357
P503262,P470248,0.4918
P503262,P500502,0.4341
P503262,P442594,0.4398
P503262,P442535,0.4444
P503262,P473726,0.4847
P503262,P460554,0.4345
P503262,P445726,0.4095
P503262,P479688,0.4055
P503262,P483092,0.481
P503262,P457439,0.4142
P503262,P502842,0.4862
P503262,P478731,0.4687
P503262,P410400,0.4331
P503262,P463964,0.4876
P503262,P461535,0.4547
P503262,P483495,0.522
P503262,P456407,0.442
P503262,P432048,0.5081
P503262,P420143,0.4956
P503262,P379711,0.4114
P503262,P386739,0.4443
P503262,P392143,0.4555
P503262,P412407,0.4055
P503262,P476736,0.459
P503262,P442748,0.4575
P503262,P422848,0.4016
P503262,P500482,0.5481
P503262,P480354,0.4497
P503262,P503877,0.4702
P503262,P476737,0.4356
P503262,P502434,0.4684
P503262,P481748,0.4123
P503262,P501316,0.4483
P503262,P475197,0.5081
P503262,P475192,0.5447
P503262,P475196,0.435
P503262,P475200,0.4541
P503262,P455676,0.5055
P503262,P458216,0.5031
P503262,P471111,0.4531
P503262,P502771,0.4502
P503262,P473336,0.4179
P503262,P501474,0.4648
P449150,P500248,0.4333
P449150,P500238,0.4241
P449150,P421998,0.4143
P449150,P445951,0.4114
P449150,P483664,0.4058
P449150,P456192,0.4054
P449150,P476028,0.4619
P449150,P463665,0.4537
P470506,P470509,0.5433
P470506,P500420,0.528
P470506,P482510,0.4097
P470506,P475907,0.534
P470506,P475906,0.4894
P470506,P470510,0.5363
P470506,P482661,0.523
P470506,P504018,0.727
P470509,P470507,0.4821
P470509,P500420,0.4007
P470509,P482510,0.4915
P470509,P475907,0.4558
P470509,P475906,0.5542
P470509,P470510,0.9815
P470509,P470508,0.4724
P470509,P482661,0.4845
P470509,P502235,0.4341
P470509,P504018,0.7478
P470507,P470510,0.4709
P470507,P470508,0.986
P470507,P502235,0.9492
P470507,P504018,0.4239
P470507,P433521,0.4051
P500420,P475907,0.5874
P500420,P475906,0.4721
P500420,P482661,0.4309
P500420,P504018,0.5153
P482510,P475906,0.5107
P482510,P470510,0.4802
P482510,P504018,0.4934
P475907,P475906,0.5403
P475907,P503926,0.4442
P475907,P470510,0.4499
P475907,P482661,0.4675
P475907,P504018,0.5531
P475906,P503926,0.4112
P475906,P470510,0.5471
P475906,P482661,0.4456
P475906,P504018,0.563
P470510,P470508,0.4934
P470510,P482661,0.4783
P470510,P502235,0.4285
P470510,P504018,0.7383
P470508,P502235,0.94
P470508,P504018,0.4198
P470508,P433521,0.4012
P482661,P504018,0.7328
P502235,P504018,0.4322
P438637,P500755,0.6435
P438637,P469478,0.4019
P438637,P500244,0.4546
P455623,P477961,0.658
P455623,P438648,0.4151
P455623,P502237,0.5388
P455623,P502197,0.4196
P455623,P418218,0.4931
P455623,P454794,0.4803
P477961,P438643,0.4688
P477961,P502237,0.4754
P438643,P470007,0.445
P438643,P469520,0.428
P438643,P416312,0.4578
P438628,P438630,0.6885
P438628,P434340,0.402
P438635,P504509,0.4657
P481060,P505408,0.4634
P438648,P456991,0.4048
P438648,P464238,0.4079
P438648,P439057,0.4417
P438648,P471045,0.4834
P438648,P469508,0.4403
P438648,P415701,0.4079
P438648,P458576,0.4438
P438648,P471065,0.4376
P503562,P503552,0.8268
P503562,P461947,0.4761
P438642,P502237,0.7663
P443812,P474113,0.4021
P443812,P474117,0.4021
P503552,P458219,0.4131
P503552,P461947,0.5266
P503552,P471101,0.4228
P483141,P483089,0.8897
P394639,P394624,1.0
P394639,P422905,0.503
P394639,P475908,0.4903
P394639,P462336,0.4584
P394639,P471535,0.5085
P394639,P449175,0.6174
P394639,P433443,0.4432
P394639,P444057,0.5587
P394639,P500019,0.4174
P394639,P435801,0.5848
P394639,P504888,0.6808
P394639,P504852,0.7371
P394624,P422905,0.503
P394624,P475908,0.4903
P394624,P462336,0.4584
P394624,P471535,0.5085
P394624,P449175,0.6174
P394624,P433443,0.4432
P394624,P444057,0.5587
P394624,P500019,0.4174
P394624,P435801,0.5848
P394624,P504888,0.6808
P394624,P504852,0.7371
P422905,P475908,0.4157
P422905,P462336,0.4875
P422905,P471535,0.4811
P422905,P449175,0.5113
P422905,P433443,0.4823
P422905,P444057,0.5051
P422905,P500019,0.4663
P422905,P435801,0.5008
P422905,P504888,0.7998
P422905,P504852,0.7704
P475908,P462336,0.4644
P475908,P471535,0.4903
P475908,P449175,0.4917
P475908,P433443,0.4112
P475908,P444057,0.5628
P475908,P435801,0.5142
P475908,P504888,0.5191
P475908,P504852,0.5738
P462336,P471535,0.5214
P462336,P449175,0.5832
P462336,P433443,0.6186
P462336,P444057,0.6332
P462336,P500019,0.4543
P462336,P435801,0.5865
P462336,P504888,0.5882
P462336,P504852,0.6239
P462336,P471003,0.4482
P462336,P479304,0.4458
P462336,P504987,0.4537
P462336,P445832,0.4604
P462336,P460624,0.413
P462336,P462344,0.4043
P462336,P505139,0.4094
P462336,P448185,0.4002
P462336,P457008,0.4437
P462336,P457009,0.4437
P462336,P417238,0.6004
P462336,P434548,0.4552
P462336,P479318,0.4671
P462336,P431187,0.4176
P462336,P480165,0.5068
P462336,P503997,0.5418
P462336,P470529,0.4119
P462336,P503634,0.4559
P462336,P504171,0.4687
P462336,P400207,0.4707
P462336,P442564,0.4616
P462336,P437981,0.5196
P462336,P474325,0.4595
P462336,P431840,0.5133
P462336,P500988,0.5065
P462336,P505316,0.4159
P462336,P481334,0.5195
P462336,P480174,0.492
P462336,P476428,0.4002
P462336,P503216,0.4615
P462336,P472469,0.4315
P462336,P502322,0.4292
P462336,P474075,0.4348
P462336,P475143,0.4558
P462336,P504330,0.4442
P462336,P422536,0.4066
P462336,P468396,0.4053
P462336,P408241,0.4346
P462336,P409834,0.4282
P462336,P409816,0.4232
P462336,P470048,0.4751
P462336,P433446,0.4044
P462336,P470247,0.4095
P462336,P504698,0.4769
P462336,P480192,0.4043
P462336,P410400,0.5094
P462336,P503726,0.4845
P462336,P463964,0.4789
P462336,P461535,0.4686
P462336,P483495,0.4798
P462336,P456434,0.4724
P462336,P457279,0.4661
P462336,P500482,0.4232
P462336,P479352,0.4232
P462336,P475194,0.4015
P462336,P481748,0.4315
P462336,P475197,0.5423
P462336,P475192,0.5498
P462336,P475196,0.4316
P462336,P477830,0.4191
P471535,P449175,0.6003
P471535,P433443,0.4626
P471535,P444057,0.6079
P471535,P500019,0.4498
P471535,P435801,0.578
P471535,P504888,0.7002
P471535,P504852,0.6493
P471535,P418218,0.4032
P471535,P481748,0.4233
P449175,P433443,0.5323
P449175,P444057,0.7015
P449175,P500019,0.5368
P449175,P435801,0.6484
P449175,P504888,0.6803
P449175,P504852,0.831
P433443,P444057,0.5532
P433443,P500019,0.4525
P433443,P435801,0.5031
P433443,P504888,0.5644
P433443,P504852,0.5854
P433443,P471003,0.4254
P433443,P479304,0.4319
P433443,P504987,0.4033
P433443,P445832,0.414
P433443,P457008,0.4061
P433443,P457009,0.4061
P433443,P417238,0.41
P433443,P479318,0.4226
P433443,P480165,0.4015
P433443,P503997,0.4523
P433443,P503634,0.411
P433443,P504171,0.422
P433443,P400207,0.4337
P433443,P442564,0.4094
P433443,P437981,0.4525
P433443,P474325,0.4228
P433443,P500988,0.4298
P433443,P481334,0.4258
P433443,P480174,0.4453
P433443,P503216,0.4258
P433443,P504698,0.4205
P433443,P410400,0.4035
P433443,P463964,0.4084
P433443,P456434,0.4602
P433443,P457279,0.4507
P433443,P475197,0.4455
P433443,P475192,0.457
P444057,P500019,0.5533
P444057,P435801,0.6816
P444057,P504888,0.6578
P444057,P504852,0.7897
P500019,P435801,0.4759
P500019,P504888,0.6585
P500019,P504852,0.5763
P435801,P504888,0.6564
P435801,P504852,0.703
P435801,P500482,0.407
P504888,P504852,0.9053
P504888,P461947,0.4149
P504888,P469537,0.4096
P504888,P483495,0.4464
P504888,P386739,0.4172
P504888,P392143,0.4216
P504888,P500482,0.4414
P504888,P475192,0.4011
P504852,P483495,0.4181
P505031,P505054,0.489
P505031,P505020,0.4351
P505023,P505024,0.4807
P505023,P505054,0.4597
P505009,P505020,0.5519
P505054,P473729,0.4139
P505020,P470007,0.4178
P505020,P416312,0.4377
P433887,P503642,0.4353
P433887,P480278,0.7039
P433887,P480280,1.0
P433887,P503892,0.5703
P433887,P457512,0.6531
P416563,P416564,0.4577
P416563,P503642,0.4152
P416563,P484033,1.0
P416563,P480279,0.4688
P447210,P503642,0.4009
P447210,P480278,0.6013
P447210,P503892,0.6188
P447210,P457512,0.5615
P453224,P503642,0.4656
P453224,P480278,0.6034
P453224,P471227,0.4132
P453224,P457512,0.5485
P416561,P457512,0.5328
P456410,P500993,0.4436
P456410,P482746,0.4107
P416560,P500248,0.4515
P416560,P500238,0.4467
P416560,P423148,0.5185
P416560,P443350,0.5049
P416560,P501421,0.4222
P416560,P468143,0.4391
P416560,P407444,0.4252
P416560,P421998,0.4562
P416560,P445951,0.453
P416560,P483664,0.4709
P416560,P503991,0.4428
P416560,P504026,0.417
P416560,P456192,0.4646
P416560,P476028,0.4074
P416560,P392142,0.418
P416560,P463665,0.4115
P467110,P503642,0.4046
P471003,P479304,0.5624
P471003,P503892,0.4006
P471003,P504987,0.4992
P471003,P445832,0.51
P471003,P462344,0.4667
P471003,P411539,0.4006
P471003,P448185,0.4185
P471003,P457008,0.4513
P471003,P457009,0.4513
P471003,P417238,0.4853
P471003,P434548,0.498
P471003,P458209,0.4411
P471003,P479318,0.5326
P471003,P431187,0.4908
P471003,P480165,0.4919
P471003,P503997,0.5655
P471003,P504780,0.4189
P471003,P479327,0.4985
P471003,P470529,0.4487
P471003,P503634,0.5627
P471003,P504171,0.5686
P471003,P504849,0.4231
P471003,P400207,0.5723
P471003,P442564,0.4819
P471003,P437981,0.5478
P471003,P421600,0.4111
P471003,P481096,0.4491
P471003,P474325,0.5632
P471003,P503923,0.413
P471003,P500988,0.5122
P471003,P452004,0.5017
P471003,P505316,0.5634
P471003,P481334,0.4636
P471003,P480174,0.5939
P471003,P476428,0.4667
P471003,P503216,0.5756
P471003,P476515,0.4625
P471003,P472469,0.4588
P471003,P500687,0.4531
P471003,P502322,0.478
P471003,P444970,0.5013
P471003,P474075,0.5207
P471003,P501003,0.4264
P471003,P456193,0.4261
P471003,P470247,0.4538
P471003,P504698,0.5054
P471003,P480192,0.4066
P471003,P410400,0.4619
P471003,P503726,0.4301
P471003,P460627,0.4497
P471003,P461535,0.4574
P471003,P483495,0.423
P471003,P456434,0.6001
P471003,P457279,0.5921
P471003,P475194,0.4544
P471003,P475197,0.5406
P471003,P475192,0.4968
P471003,P475196,0.5688
P471003,P477830,0.4613
P474304,P474937,0.4467
P474304,P470007,0.4126
P474304,P474369,0.4127
P479304,P503892,0.6808
P479304,P504987,0.5438
P479304,P445832,0.5764
P479304,P462344,0.4916
P479304,P449177,0.4203
P479304,P411539,0.403
P479304,P448185,0.4112
P479304,P457008,0.5063
P479304,P457010,0.4058
P479304,P457009,0.5063
P479304,P417238,0.4333
P479304,P434548,0.4601
P479304,P458209,0.5062
P479304,P479318,0.5742
P479304,P431187,0.4541
P479304,P480165,0.4531
P479304,P503997,0.5996
P479304,P479327,0.5026
P479304,P470529,0.4826
P479304,P503634,0.5108
P479304,P504171,0.5412
P479304,P504849,0.4404
P479304,P400207,0.6096
P479304,P442564,0.524
P479304,P437981,0.5773
P479304,P421600,0.4333
P479304,P481096,0.4681
P479304,P474325,0.6499
P479304,P503923,0.4727
P479304,P500988,0.5336
P479304,P452004,0.4939
P479304,P505316,0.5855
P479304,P481334,0.4825
P479304,P480174,0.6382
P479304,P476428,0.5231
P479304,P503216,0.5935
P479304,P476515,0.5139
P479304,P472469,0.4453
P479304,P502322,0.4434
P479304,P477413,0.4182
P479304,P444970,0.4595
P479304,P474075,0.5418
P479304,P501003,0.5169
P479304,P456193,0.4283
P479304,P470247,0.4748
P479304,P504698,0.5642
P479304,P480192,0.4933
P479304,P410400,0.4254
P479304,P503726,0.4991
P479304,P460627,0.4607
P479304,P463964,0.4013
P479304,P461535,0.4631
P479304,P483495,0.4433
P479304,P456434,0.6659
P479304,P457279,0.657
P479304,P475194,0.4989
P479304,P481748,0.4038
P479304,P482754,0.4154
P479304,P475197,0.5359
P479304,P475192,0.4784
P479304,P475196,0.5396
P479304,P477830,0.4923
P416564,P484033,0.4577
P416564,P481401,0.415
P416564,P438618,0.4379
P416564,P442843,0.4152
P503642,P480278,0.5571
P503642,P484033,0.4152
P503642,P480280,0.4353
P503642,P503892,0.436
P503642,P457512,0.5258
P503642,P505209,0.4055
P469439,P480279,0.7821
P480278,P480280,0.7039
P480278,P503892,0.7253
P480278,P457512,0.8827
P484033,P480279,0.4688
P480280,P503892,0.5703
P480280,P457512,0.6531
P503892,P479318,0.4507
P503892,P503997,0.442
P503892,P470529,0.4125
P503892,P504171,0.405
P503892,P474325,0.4511
P503892,P503923,0.4071
P503892,P500988,0.4212
P503892,P480174,0.4417
P503892,P503216,0.4117
P503892,P457512,0.6896
P503892,P504698,0.4129
P503892,P456434,0.4949
P503892,P457279,0.4883
P503892,P501474,0.4114
P270594,P462339,0.7001
P270594,P468634,1.0
P270594,P504452,0.6285
